learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.403074756,1.2921848169714212E-9,100.0,67.0,0.0,50.000000000000014,0.0,?,80.23952095808384,?,?,67.0,?,50.0,100.0,0.0,100.0,12392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.493931296,1.6597975723114277E-9,200.0,66.5,0.0,49.62406015037594,0.0,?,79.87987987987988,?,?,66.5,?,50.0,100.0,0.0,200.0,15640.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,0.543875952,1.8654954064720203E-9,300.0,66.66666666666666,0.0,49.99999999999999,0.0,?,80.0,?,?,66.66666666666666,?,50.0,100.0,0.0,300.0,15920.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,0.603843402,2.1613712091081667E-9,400.0,66.75,0.0,49.999999999999986,0.0,?,80.0599700149925,?,?,66.75,?,50.0,100.0,0.0,400.0,19072.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,0.658780724,2.4361807154657107E-9,500.0,66.8,0.0,50.000000000000014,0.0,?,80.0959232613909,?,?,66.8,?,50.0,100.0,0.0,500.0,19336.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,0.716695945,2.7298418136686082E-9,600.0,66.66666666666666,0.0,49.87468671679196,0.0,?,80.0,?,?,66.66666666666666,?,50.0,100.0,0.0,600.0,19600.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,0.770464461,3.029072734283076E-9,700.0,66.57142857142857,0.0,49.677419354838705,0.0,?,79.93138936535162,?,?,66.57142857142857,?,50.0,100.0,0.0,700.0,21512.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,0.812784437,3.2741374234358466E-9,800.0,66.625,0.0,49.81203007518796,0.0,?,79.96999249812453,?,?,66.625,?,50.0,100.0,0.0,800.0,22384.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,0.852428411,3.50682383681337E-9,900.0,66.66666666666666,0.0,49.83277591973244,0.0,?,80.0,?,?,66.66666666666666,?,50.0,100.0,0.0,900.0,22688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,0.891498834,3.739054822259479E-9,1000.0,66.7,0.0,49.849397590361455,0.0,?,80.0239952009598,?,?,66.7,?,50.0,100.0,0.0,1000.0,22976.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,0.931121781,3.974569959325922E-9,1100.0,66.72727272727272,0.0,49.86301369863014,0.0,?,80.04362050163577,?,?,66.72727272727272,?,50.0,100.0,0.0,1100.0,22976.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,0.981595803,4.281581792653434E-9,1200.0,66.66666666666666,0.0,49.811794228356334,0.0,?,80.0,?,?,66.66666666666666,?,50.0,100.0,0.0,1200.0,23512.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,1.016986902,4.50593312970259E-9,1300.0,66.6923076923077,0.0,49.88425925925926,0.0,?,80.01845869866175,?,?,66.6923076923077,?,50.0,100.0,0.0,1300.0,24504.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,1.059117922,4.511687973305168E-9,1400.0,66.64285714285715,0.0,49.838882921589686,0.0,?,79.98285469352766,?,?,66.64285714285715,?,50.0,100.0,0.0,1400.0,528.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1500.0,1.121439403,4.779581289399E-9,1500.0,66.86666666666666,1.0617120106171465,50.200400801603195,0.6000000000000004,58.29999414062688,80.06417970316888,1.9723865877712032,69.13692469620132,66.84527796383122,71.42857142857143,50.4,99.8,1.0,1500.0,16616.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
