learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.369410927,6.3035908116131195E-9,100.0,55.00000000000001,17.82322863403945,31.818181818181824,-36.36363636363637,60.812188377811815,56.310679611650485,53.608247422680414,60.59027777777778,80.55555555555556,40.625,61.035730438715504,43.28358208955223,78.78787878787878,100.0,65960.0
200.0,0.44791117,7.646685263340672E-9,200.0,64.5,24.51626621305551,46.616541353383454,-5.97014925373135,62.423381717853,71.71314741035856,52.34899328859059,61.91608102521703,76.27118644067797,47.5609756097561,62.93906407810571,67.66917293233082,58.2089552238806,200.0,66136.0
300.0,0.498273421,8.508667386583984E-9,300.0,74.66666666666667,44.66019417475729,62.0,24.000000000000018,72.41865930814508,80.41237113402062,64.15094339622641,71.84650455927051,82.97872340425532,60.71428571428571,73.0,78.0,68.0,300.0,66160.0
400.0,0.547256693,9.350291436558797E-9,400.0,69.75,30.674916924487228,54.51127819548872,9.022556390977451,65.35927589039363,77.71639042357275,52.918287937743195,65.6439925198691,76.44927536231883,54.83870967741935,65.07701838866831,79.02621722846442,51.127819548872175,400.0,66416.0
500.0,0.592815095,1.0133258402591779E-8,500.0,68.8,25.120958451731788,53.012048192771076,6.024096385542141,62.82364263234989,77.96610169491525,46.57534246575342,63.882522706052114,73.79679144385027,53.96825396825397,61.79929298030444,82.63473053892216,40.963855421686745,500.0,66432.0
600.0,0.638486657,1.091854822555764E-8,600.0,68.16666666666666,21.18294360385143,52.13032581453633,4.5000000000000036,61.17994570127626,78.12142038946162,41.59021406727829,62.818165171214055,72.09302325581395,53.54330708661418,59.62500000000001,85.25,34.0,600.0,66464.0
700.0,0.684244174,1.1706641783499056E-8,700.0,67.57142857142857,17.977783283779313,51.182795698924735,2.991452991452994,59.841362317768386,78.10993249758921,37.46556473829201,61.820687220842,70.92819614711033,52.71317829457365,57.98485015223213,86.9098712446352,29.059829059829063,700.0,66576.0
800.0,0.723648246,1.238596072099275E-8,800.0,67.25,15.63559083261551,50.751879699248114,1.872659176029956,58.87584211691781,78.20299500831945,34.17085427135679,61.08125377970994,70.254110612855,51.908396946564885,56.82413868218198,88.18011257035647,25.468164794007492,800.0,66640.0
900.0,0.759725435,1.3008074139960938E-8,900.0,66.44444444444444,12.71676300578034,49.498327759197316,-0.6666666666666708,57.390616551298834,77.82672540381792,31.05022831050228,59.41458404655939,69.5538057742782,49.275362318840585,55.49999999999999,88.33333333333333,22.666666666666664,900.0,66656.0
1000.0,0.792928333,1.3580829565363626E-8,1000.0,66.2,11.07462890758601,49.09638554216868,-1.501501501501503,56.64445494271344,77.85058977719528,28.691983122362867,58.6885624881315,69.15017462165308,48.226950354609926,54.73794634214424,89.05547226386807,20.42042042042042,1000.0,66680.0
1100.0,0.82657438,1.4161299017605682E-8,1100.0,66.0909090909091,9.868548231200478,48.90410958904109,-1.9125683060109244,56.12156602199961,77.94204612655233,26.719056974459725,58.20673579294269,68.86102403343783,47.55244755244755,54.180625660725724,89.78201634877384,18.579234972677597,1100.0,66688.0
1200.0,0.85983944,1.4735470975476006E-8,1200.0,65.91666666666667,8.908685968819624,48.68255959849436,-2.249999999999985,55.67936129333494,77.92768483540206,25.22851919561243,57.75238870476965,68.56600189933523,46.93877551020408,53.75,90.25,17.25,1200.0,66720.0
1300.0,0.893249472,1.531256009781112E-8,1300.0,66.15384615384615,8.85420816296611,49.07407407407407,-1.6166281755196448,55.81362464145742,78.1962338949455,24.39862542955326,58.1000472305961,68.5490877497828,47.651006711409394,53.70034442251293,91.00346020761245,16.397228637413395,1300.0,66768.0
1400.0,0.942810968,1.616894003499299E-8,1400.0,66.35714285714286,9.002086576358744,49.40923737916219,-0.8565310492505458,56.06501128895235,78.40440165061898,23.909531502423263,58.596912955465584,68.50961538461539,48.68421052631579,53.742847896885785,91.63987138263666,15.845824411134904,1400.0,66792.0
1500.0,0.985541772,1.69073799372423E-8,1500.0,66.93333333333334,10.361445783132542,50.300601202404806,0.8000000000000116,57.0205026778808,78.80341880341881,24.848484848484848,60.02798507462687,68.80597014925374,51.24999999999999,54.300000000000004,92.2,16.400000000000002,1500.0,66800.0
