learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.804411498,1.337578673232595E-7,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,642752.0
200.0,1.11875886,1.862800962070127E-7,200.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,200.0,645856.0
300.0,1.396334407,2.3576510913437436E-7,300.0,99.66666666666667,0.0,50.00000000000083,0.0,?,99.83305509181972,?,?,99.66666666666667,?,50.0,100.0,0.0,300.0,689120.0
400.0,1.706433834,2.910951941850015E-7,400.0,97.25,-0.45662100456595633,-449.9999999999989,-1000.0000000000222,49.30291508238276,98.60583016476552,?,49.871794871794876,99.74358974358975,0.0,48.7468671679198,97.4937343358396,0.0,400.0,689704.0
500.0,1.991770976,3.421133174077359E-7,500.0,97.0,-0.6981740064446351,-275.0,-650.0,49.23857868020304,98.47715736040608,?,49.794661190965094,99.58932238193019,0.0,48.69477911646587,97.38955823293173,0.0,500.0,691144.0
600.0,2.287172289,3.949382452116202E-7,600.0,97.0,-0.5961251862896784,-349.9999999999975,-800.00000000001,49.23857868020304,98.47715736040608,?,49.82876712328767,99.65753424657534,0.0,48.66220735785953,97.32441471571906,0.0,600.0,691240.0
700.0,2.499392272,4.328966763950677E-7,700.0,95.71428571428572,-0.5361930294904456,-650.0000000000049,-1399.9999999999807,48.9051094890511,97.8102189781022,?,49.851190476190474,99.70238095238095,0.0,47.99426934097421,95.98853868194843,0.0,700.0,691392.0
800.0,2.70377756,4.6945545777565486E-7,800.0,94.25,-0.4805591961555708,-1049.9999999999989,-2200.000000000049,48.51994851994852,97.03989703989704,?,49.86772486772487,99.73544973544973,0.0,47.24310776942356,94.48621553884712,0.0,800.0,691424.0
900.0,2.888659133,5.025259555550726E-7,900.0,93.55555555555556,-0.4309681391411976,-1349.99999999999,-2799.99999999998,48.33524684270952,96.67049368541905,?,49.88151658767773,99.76303317535546,0.0,46.88195991091314,93.76391982182628,0.0,900.0,691432.0
1000.0,3.068614825,5.347157139658741E-7,1000.0,92.80000000000001,-0.39040713887347794,-1699.9999999999973,-3499.9999999999945,48.13278008298755,96.2655601659751,?,49.89247311827957,99.78494623655914,0.0,46.49298597194389,92.98597194388778,0.0,1000.0,691440.0
1100.0,3.250314619,5.672561832393891E-7,1100.0,92.72727272727272,-0.5277707966828475,-1233.3333333333253,-2566.6666666667047,48.11320754716981,96.22641509433961,?,49.853372434017594,99.70674486803519,0.0,46.49042844120328,92.98085688240656,0.0,1100.0,692264.0
1200.0,3.43039938,5.995074175580632E-7,1200.0,92.5,-0.4856807904874142,-1399.999999999998,-2900.0000000000623,48.05194805194805,96.1038961038961,?,49.865229110512125,99.73045822102425,0.0,46.365914786967416,92.73182957393483,0.0,1200.0,692264.0
1300.0,3.62311063,6.340199195881187E-7,1300.0,92.76923076923077,-0.44881384911298494,-1466.6666666666795,-3033.3333333332835,48.12450119712689,96.24900239425378,?,49.87593052109181,99.75186104218362,0.0,46.491904394757135,92.98380878951427,0.0,1300.0,692264.0
1400.0,3.814569846,6.683085921059879E-7,1400.0,92.92857142857143,-0.4173187271778617,-1549.9999999999807,-3200.000000000047,48.16734542761941,96.33469085523882,?,49.88496932515337,99.76993865030674,0.0,46.56406585540444,93.12813171080889,0.0,1400.0,692272.0
1500.0,3.999149567,7.013652071858735E-7,1500.0,93.2,-0.3897484351010428,-1599.9999999999973,-3299.9999999999945,48.240165631469985,96.48033126293997,?,49.892933618843685,99.78586723768737,0.0,46.6933867735471,93.3867735470942,0.0,1500.0,692272.0
1600.0,4.19624982,7.366645480560118E-7,1600.0,93.5,-0.3655138304161931,-1633.3333333333176,-3366.6666666667375,48.320413436692505,96.64082687338501,?,49.89993328885924,99.79986657771848,0.0,46.83782091421415,93.6756418284283,0.0,1600.0,692280.0
1700.0,4.378666798,7.693342122949639E-7,1700.0,93.70588235294117,-0.3442264833736363,-1683.3333333333296,-3466.6666666667716,48.375341633768606,96.75068326753721,?,49.90601503759399,99.81203007518798,0.0,46.93576900412493,93.87153800824986,0.0,1700.0,692280.0
1702.0,4.399113368,7.729960566258037E-7,1702.0,93.71327849588718,-0.3438205961761867,-1683.333333333348,-3466.666666666696,48.3773127085229,96.7546254170458,?,49.906132665832295,99.81226533166459,0.0,46.93937610359035,93.8787522071807,0.0,1702.0,692280.0
