learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.628428391,5.0173207371613635E-8,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,308616.0
200.0,0.895457597,7.297866306040644E-8,200.0,98.5,65.9863945578232,25.0,50.0,85.43335761107066,99.23273657289002,66.66666666666666,99.23857868020305,98.47715736040608,100.0,75.0,100.0,50.0,200.0,330128.0
300.0,1.093321584,8.988898371153408E-8,300.0,98.33333333333333,53.703703703703745,-25.00000000000063,16.666666666666483,76.99997382110841,99.15110356536503,54.54545454545454,79.49152542372882,98.98305084745763,60.0,74.65986394557824,99.31972789115646,50.0,300.0,330360.0
400.0,1.205527377,9.947974203458263E-8,400.0,98.0,41.86046511627918,-100.0,-33.33333333333333,71.24038321962549,98.98218829516539,42.857142857142854,68.36734693877551,99.23469387755102,37.5,74.36548223350255,98.73096446700508,50.0,400.0,330400.0
500.0,1.302099471,1.077350138356371E-7,500.0,97.39999999999999,30.28743028743022,-116.66666666666667,-62.5,65.4427213015477,98.67482161060143,31.57894736842105,63.12511619260086,98.97750511247445,27.27272727272727,67.9369918699187,98.3739837398374,37.5,500.0,330432.0
600.0,1.402747078,1.1634304701106207E-7,600.0,97.5,38.775510204081826,-87.50000000000053,-49.999999999999666,69.97291371082163,98.72340425531915,40.0,66.23931623931624,99.14529914529915,33.33333333333333,74.15254237288136,98.30508474576271,50.0,600.0,330600.0
700.0,1.494257709,1.2418780853551706E-7,700.0,96.57142857142857,43.68463395012074,-100.0,-9.090909090908834,71.84231697506034,98.23008849557522,45.45454545454545,71.84231697506034,98.23008849557522,45.45454545454545,71.84231697506034,98.23008849557522,45.45454545454545,700.0,331368.0
800.0,1.610892231,1.3420563009565902E-7,800.0,95.75,82.98638911128904,-161.53846153846166,72.1311475409836,91.54765110378831,97.51098096632502,85.47008547008548,93.04401993355482,96.80232558139535,89.28571428571429,90.09865080516465,98.23008849557522,81.9672131147541,800.0,332008.0
900.0,1.703879939,1.4219452700885633E-7,900.0,95.0,85.08485062754109,-60.714285714285964,77.61194029850745,92.62926335467166,96.8242766407904,88.25065274151436,94.20015917230403,95.54317548746518,92.85714285714286,91.10990113808639,98.14020028612303,84.07960199004975,900.0,332096.0
1000.0,1.796444327,1.5014686345900097E-7,1000.0,94.39999999999999,84.9535979708852,12.499999999999849,78.21011673151749,92.53953307882665,96.28154050464808,88.66396761133602,93.71236126549098,95.01965923984272,92.40506329113924,91.395698372881,97.57738896366084,85.21400778210116,1000.0,332088.0
1100.0,1.886139407,1.5785547813470163E-7,1100.0,89.63636363636364,73.29357895857736,-18.749999999999993,64.92307692307692,87.26212509077214,92.98892988929889,80.13937282229966,90.6030703306764,88.83666274970624,92.3694779116466,84.15880893300248,97.54838709677419,70.76923076923077,1100.0,332208.0
1200.0,1.995159049,1.6722692360854394E-7,1200.0,88.25,69.57491188952024,-20.51282051282052,60.724233983286894,85.64283465657422,92.08309938236945,77.22132471728595,89.5785597381342,87.2340425531915,91.92307692307692,82.03839440379706,97.50297265160523,66.57381615598887,1200.0,332280.0
1300.0,2.109309675,1.770399064694179E-7,1300.0,85.6923076923077,64.00446594715294,-48.80000000000004,55.60859188544151,83.38279962100542,90.24134312696746,73.19884726224784,88.13303769401331,83.90243902439025,92.36363636363636,79.11843506104746,97.61634506242906,60.62052505966587,1300.0,332296.0
1400.0,2.198409254,1.8470268996083277E-7,1400.0,84.64285714285714,62.83712040772988,-48.27586206896557,55.02092050209204,82.76394676280991,89.27680798004988,72.9559748427673,87.06173119999067,82.64081255771006,91.48264984227129,78.87051979052269,97.07158351409979,60.66945606694561,1400.0,332440.0
1500.0,2.28886006,1.9248149510853196E-7,1500.0,82.6,58.69556043214044,-45.810055865921875,51.21495327102803,80.95526518857298,87.72919605077574,70.10309278350516,85.412571672998,80.29259896729776,90.53254437869822,76.9400997530386,96.6839378238342,57.19626168224299,1500.0,332432.0
1600.0,2.380949854,2.0040144446307375E-7,1600.0,81.25,56.31280034949759,-34.52914798206275,49.494949494949495,80.02851350701403,86.64292074799644,68.55345911949686,84.6505376344086,78.46774193548387,90.83333333333333,75.88509347952687,96.71968190854871,55.05050505050505,1600.0,332440.0
1700.0,2.483582804,2.0922876845963915E-7,1700.0,81.0,56.658394584627835,-34.58333333333324,50.535987748851475,80.22061259158757,86.24946785866327,69.26736441484302,84.63033292422173,77.80337941628265,91.4572864321608,76.2476762163024,96.75262655205348,55.742725880551305,1700.0,332464.0
1800.0,2.583432534,2.178173313416892E-7,1800.0,81.22222222222221,57.632311977715865,-19.014084507042266,51.7142857142857,80.53895229342791,86.26016260162604,70.35087719298247,84.57553475935828,78.01470588235294,91.13636363636364,76.87012987012987,96.45454545454545,57.285714285714285,1800.0,332488.0
1900.0,2.677640596,2.259198469144416E-7,1900.0,81.73684210526316,59.85488573286604,-14.900662251655609,54.81770833333335,81.48207953085866,86.27916172400158,72.69866247049566,84.97241319441974,78.0959198282033,91.84890656063618,78.26717093639576,96.37809187279152,60.15625,1900.0,332456.0
2000.0,2.770871987,2.339383623303183E-7,2000.0,82.25,61.10185834502104,-6.287425149700569,56.06435643564357,81.93764827692382,86.58859085757462,73.76201034737619,85.16125981273053,78.76288659793815,91.55963302752293,78.94918266994483,96.14093959731544,61.757425742574256,2000.0,332456.0
2100.0,2.861734746,2.4175297169938265E-7,2100.0,82.80952380952381,63.16627214104972,2.695417789757403,59.070294784580504,82.86740813154911,86.65434380776341,75.85284280936455,85.65616528675382,78.81640887693342,92.49592169657423,80.2545155993432,96.2233169129721,64.28571428571429,2100.0,332448.0
2200.0,2.979800521,2.519061864214266E-7,2200.0,83.18181818181817,64.58544522708387,7.035175879396968,61.25654450261779,83.48010501454553,86.61360347322722,77.3838630806846,85.87669258409632,78.80184331797236,92.95154185022027,81.21365041317101,96.14457831325302,66.28272251308901,2200.0,332416.0
2300.0,3.079603072,2.6048821258412673E-7,2300.0,83.47826086956522,65.50213342069634,6.633906633906619,62.561576354679794,83.85930780154234,86.65730337078652,78.31050228310502,86.01539501931974,78.95073576455535,93.08005427408412,81.8086676506105,96.03112840466926,67.58620689655173,2300.0,332392.0
