learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.037388648,6.339723721643288E-10,100.0,52.0,19.81289675910457,27.272727272727277,-45.45454545454547,65.56539045549542,45.45454545454545,57.14285714285714,67.87221217600964,95.23809523809523,40.50632911392405,63.410221619176845,29.850746268656714,96.96969696969697,100.0,65544.0
200.0,0.08604995,1.4608997929965456E-9,200.0,56.00000000000001,25.10000851136267,33.83458646616542,-31.343283582089548,68.46873313338206,51.11111111111111,60.0,70.50479766374636,97.87234042553192,43.13725490196079,66.54696442599035,34.58646616541353,98.50746268656717,200.0,65688.0
300.0,0.115905517,1.96849850045931E-9,300.0,70.0,44.44444444444444,54.99999999999999,9.999999999999996,76.22573856107257,71.3375796178344,68.53146853146853,75.46689303904924,98.24561403508771,52.68817204301075,77.0,56.00000000000001,98.0,300.0,65720.0
400.0,0.144323678,2.4537172063791917E-9,400.0,57.49999999999999,15.070067194564482,36.32958801498127,-1.7964071856287573,57.64667970592677,60.64814814814815,53.80434782608695,57.541438535963394,65.82914572864321,49.25373134328358,57.752306545706865,56.22317596566524,59.2814371257485,400.0,66000.0
500.0,0.158034994,2.6880829983804786E-9,500.0,52.800000000000004,4.692674258945165,29.341317365269465,-1.2875536480686707,52.35262249259676,57.24637681159419,47.32142857142858,52.37046103631171,55.43859649122807,49.30232558139535,52.33479609715324,59.176029962546814,45.493562231759654,500.0,66072.0
600.0,0.177040567,3.0131395265811843E-9,600.0,53.666666666666664,7.333333333333325,30.67331670822942,7.333333333333325,53.69982866612365,56.56250000000001,50.357142857142854,53.73303167420814,53.23529411764706,54.230769230769226,53.666666666666664,60.333333333333336,47.0,600.0,66112.0
700.0,0.192071161,3.270304429976062E-9,700.0,56.00000000000001,11.372736017363717,34.1880341880342,7.507507507507527,55.713986274724405,59.89583333333333,51.26582278481013,55.768605242745984,57.356608478803,54.18060200668896,55.659474188084545,62.67029972752044,48.64864864864865,700.0,66136.0
800.0,0.203554943,3.4667853999655272E-9,800.0,60.12499999999999,19.216987224128538,40.37383177570093,13.07901907356947,59.63475897500621,64.35754189944134,54.751773049645394,59.71912702681934,62.33766233766234,57.100591715976336,59.55062896841628,66.51270207852194,52.58855585831063,800.0,66136.0
900.0,0.210523817,3.5860188653216585E-9,900.0,63.0,24.375473126419383,44.6843853820598,16.749999999999996,62.231603511817234,67.88813886210222,56.356487549148106,62.388999184326764,65.54934823091247,59.22865013774105,62.07499999999999,70.39999999999999,53.75,900.0,66136.0
1000.0,0.216050913,3.680607208011464E-9,1000.0,59.8,18.38259478379509,39.91031390134528,13.918629550321187,59.31683340043331,64.92146596858639,52.927400468384064,59.54154389603382,60.685154975530175,58.39793281653747,59.093812647894225,69.7936210131332,48.394004282655246,1000.0,66152.0
1100.0,0.221623355,3.775971582633338E-9,1100.0,58.63636363636363,16.76755447941887,38.179347826086946,14.634146341463394,58.503517759906586,62.857142857142854,53.33333333333332,58.66708385481852,58.51063829787234,58.82352941176471,58.34086118638964,67.90123456790124,48.78048780487805,1100.0,66152.0
1200.0,0.227200175,3.871422422281983E-9,1200.0,58.5,16.999999999999993,37.98256537982565,16.999999999999993,58.63134848469455,61.809815950920246,54.56204379562044,58.76328812316716,57.24431818181818,60.28225806451613,58.5,67.16666666666666,49.833333333333336,1200.0,66160.0
1300.0,0.232154649,3.956221412265051E-9,1300.0,60.07692307692307,19.811836519308372,40.34482758620689,18.009478672985768,60.00149775657311,63.52775825720309,55.90484282073067,60.13315048241519,59.78835978835979,60.47794117647059,59.87042024011691,67.76611694152923,51.97472353870458,1300.0,66160.0
1400.0,0.236655349,4.033263084807743E-9,1400.0,61.71428571428571,22.841378572853404,42.796157950907144,19.64017991004497,61.49770945535554,65.32988357050453,57.256778309409896,61.6370269324499,62.11562115621157,61.158432708688245,61.35902035339765,68.89495225102318,53.823088455772115,1400.0,66168.0
1500.0,0.242260645,4.129212910154213E-9,1500.0,63.33333333333333,25.76929998200468,45.219123505976086,21.428571428571423,62.973129995445184,67.37841043890866,58.14307458143075,63.161667928912294,64.10835214446952,62.21498371335505,62.78571428571429,71.0,54.57142857142857,1500.0,66168.0
