learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.993446406,8.812197579517959E-9,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,34288.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,1.452139962,1.7619940366769828E-8,200.0,97.0,0.0,-50.0,0.0,?,98.47715736040608,?,?,97.0,?,50.0,100.0,0.0,200.0,74224.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,1.710527827,2.2675036135086165E-8,300.0,98.0,0.0,-50.00000000000042,0.0,?,98.98989898989899,?,?,98.0,?,50.0,100.0,0.0,300.0,75624.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,1.934828045,2.70999145890793E-8,400.0,98.5,0.0,-50.0,0.0,?,99.24433249370279,?,?,98.5,?,50.0,100.0,0.0,400.0,76256.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,2.142065058,3.131813534713453E-8,500.0,98.4,0.0,-33.33333333333333,0.0,?,99.19354838709677,?,?,98.4,?,50.0,100.0,0.0,500.0,78680.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,2.318209005,3.5024864703532716E-8,600.0,98.33333333333333,0.0,-25.00000000000063,0.0,?,99.15966386554621,?,?,98.33333333333333,?,50.0,100.0,0.0,600.0,81344.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,2.524441217,4.000755398088031E-8,700.0,96.85714285714285,0.0,-83.33333333333377,0.0,?,98.4034833091437,?,?,96.85714285714285,?,50.0,100.0,0.0,700.0,93392.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,2.706876898,4.474832201165457E-8,800.0,84.75,0.0,-838.461538461539,0.0,?,91.74560216508796,?,?,84.75,?,50.0,100.0,0.0,800.0,100448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,2.853219897,4.857511362339266E-8,900.0,77.66666666666666,0.0,-617.8571428571435,0.0,?,87.4296435272045,?,?,77.66666666666666,?,50.0,100.0,0.0,900.0,101080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,3.029992939,5.319909808160323E-8,1000.0,74.3,0.0,-301.56250000000034,0.0,?,85.25530694205393,?,?,74.3,?,50.0,100.0,0.0,1000.0,101112.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,3.193641273,5.7495010691051264E-8,1100.0,70.45454545454545,0.0,-238.5416666666666,0.0,?,82.66666666666667,?,?,70.45454545454545,?,50.0,100.0,0.0,1100.0,101472.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,3.320429696,6.083381431982541E-8,1200.0,70.08333333333333,0.0,-206.83760683760676,0.0,?,82.41058304752573,?,?,70.08333333333333,?,50.0,100.0,0.0,1200.0,101792.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,3.465326521,6.467047005879589E-8,1300.0,67.76923076923077,0.0,-235.20000000000005,0.0,?,80.7886290692343,?,?,67.76923076923077,?,50.0,100.0,0.0,1300.0,102352.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,3.619225792,6.879518507129409E-8,1400.0,65.85714285714286,0.0,-229.6551724137932,0.0,?,79.41429801894918,?,?,65.85714285714286,?,50.0,100.0,0.0,1400.0,103600.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,3.747634487,7.228827365254155E-8,1500.0,64.33333333333333,0.0,-198.88268156424593,0.0,?,78.29614604462475,?,?,64.33333333333333,?,50.0,100.0,0.0,1500.0,105152.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1600.0,3.878240325,7.58741078057616E-8,1600.0,62.875,0.0,-166.36771300448424,0.0,?,77.20644666155026,?,?,62.875,?,50.0,100.0,0.0,1600.0,106128.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1700.0,4.029311001,8.006339540312479E-8,1700.0,61.588235294117645,0.0,-172.08333333333326,0.0,?,76.22861303239898,?,?,61.588235294117645,?,50.0,100.0,0.0,1700.0,107192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1800.0,4.165501611,8.387640919367263E-8,1800.0,61.111111111111114,0.0,-146.47887323943655,0.0,?,75.86206896551725,?,?,61.111111111111114,?,50.0,100.0,0.0,1800.0,108224.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1900.0,4.289135649,8.735424469262153E-8,1900.0,59.578947368421055,0.0,-154.30463576158942,0.0,?,74.67018469656993,?,?,59.578947368421055,?,50.0,100.0,0.0,1900.0,108736.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,4.420023853,9.104182909497576E-8,2000.0,59.599999999999994,0.0,-141.9161676646706,0.0,?,74.68671679197995,?,?,59.599999999999994,?,50.0,100.0,0.0,2000.0,108904.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2100.0,4.548387107,9.465907369470223E-8,2100.0,57.99999999999999,0.0,-137.73584905660383,0.0,?,73.41772151898734,?,?,57.99999999999999,?,50.0,100.0,0.0,2100.0,108928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2200.0,4.676391866,9.828317083483561E-8,2200.0,56.59090909090909,0.0,-139.9497487437186,0.0,?,72.27866473149493,?,?,56.59090909090909,?,50.0,100.0,0.0,2200.0,109440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2300.0,4.786100287,1.0138993943908561E-7,2300.0,55.869565217391305,0.0,-149.38574938574936,0.0,?,71.68758716875871,?,?,55.869565217391305,?,50.0,100.0,0.0,2300.0,109464.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2400.0,4.899025871,1.0458828042343671E-7,2400.0,55.50000000000001,0.0,-147.79582366589327,0.0,?,71.38263665594855,?,?,55.50000000000001,?,50.0,100.0,0.0,2400.0,109480.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2500.0,5.01477555,1.078680443289524E-7,2500.0,55.279999999999994,0.0,-143.5729847494554,0.0,?,71.20041215868109,?,?,55.279999999999994,?,50.0,100.0,0.0,2500.0,109528.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2600.0,5.155875416,1.1186902528246449E-7,2600.0,53.15384615384615,0.0,-165.35947712418303,0.0,?,69.4123556002009,?,?,53.15384615384615,?,50.0,100.0,0.0,2600.0,109608.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2700.0,5.278324869,1.1534166816127795E-7,2700.0,51.18518518518519,0.0,-187.14596949891057,0.0,?,67.71190592846644,?,?,51.18518518518519,?,50.0,100.0,0.0,2700.0,109624.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2800.0,5.407173377,1.1899578700615298E-7,2800.0,50.535714285714285,2.297987610639083,-201.74291938997823,-0.21707670043416166,60.82115544454096,66.61846228006749,4.548587181254306,74.97289483194795,49.945789663895916,100.0,51.163610719322996,100.0,2.32722143864598,2800.0,109624.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2900.0,5.58956739,1.2416920101663508E-7,2900.0,52.241379310344826,8.385096001197056,-201.74291938997828,-0.21707670043416083,63.03777325153208,66.61846228006749,16.1114476075106,74.97289483194795,49.945789663895916,100.0,54.38076416337287,100.0,8.761528326745719,2900.0,109640.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,5.756987084,1.2891788424545481E-7,3000.0,53.833333333333336,13.419678883903604,-201.74291938997814,-0.21707670043415359,64.8916724314456,66.61846228006749,25.175580767152887,74.97289483194795,49.945789663895916,100.0,57.200247218788626,100.0,14.400494437577255,3000.0,109640.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3100.0,5.953432503,1.3448985158272497E-7,3100.0,55.32258064516129,17.653002198732924,-201.7429193899782,-0.2170767004341552,66.46515035148911,66.61846228006749,32.47196489517308,74.97289483194795,49.945789663895916,100.0,59.69150174621654,100.0,19.383003492433062,3100.0,109640.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3200.0,6.146173076,1.3995912824854456E-7,3200.0,56.53125,20.723914335093905,-200.43196544276464,-0.21613832853026757,67.32831510866097,66.5222623345367,38.04008908685969,74.28005418529668,49.945789663895916,98.61431870669746,61.56642237787151,99.56772334293949,23.56512141280353,3200.0,109688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3300.0,6.342432291,1.4552825118070256E-7,3300.0,56.84848484848485,21.10917226746999,-201.05708245243133,-0.21111893033074142,66.2016672306703,65.99808978032475,40.96185737976783,71.31435824658212,49.945789663895916,92.6829268292683,61.77301700074792,97.25545390570021,26.290580095795633,3300.0,109688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3400.0,6.533380312,1.4555433353040777E-7,3400.0,57.94117647058824,23.584481897443535,-199.79035639413001,-0.2102312543798118,67.12831098350294,65.90367191225562,45.126630851880286,71.41839246227971,49.945789663895916,92.89099526066352,63.32443132960701,96.84653118430273,29.802331474911302,3400.0,528.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
