learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.098595548,6.433819789936146E-10,100.0,64.0,-3.7463976945244664,45.45454545454546,-9.090909090909099,45.68660234908041,77.77777777777777,5.2631578947368425,43.15789473684211,66.3157894736842,20.0,48.53007688828585,94.02985074626866,3.0303030303030303,100.0,25224.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.128090812,8.369511303553979E-10,200.0,65.0,-1.9664967225054726,47.368421052631575,-4.477611940298512,45.95383073263417,78.65853658536585,2.777777777777778,43.07692307692308,66.15384615384615,20.0,49.24250925822018,96.99248120300751,1.4925373134328357,200.0,25368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,0.140188802,9.164470004497303E-10,300.0,69.33333333333334,12.658227848101284,54.0,8.000000000000016,62.3648461325201,80.99173553719008,20.689655172413794,72.00704225352112,69.01408450704226,75.0,55.00000000000001,98.0,12.0,300.0,25400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,0.153023181,1.0017113549593422E-9,400.0,57.25,0.3612632560307518,35.95505617977528,-2.3952095808383254,50.3763451063749,71.73553719008264,12.307692307692308,50.595238095238095,58.333333333333336,42.857142857142854,50.15933797640769,93.13304721030042,7.18562874251497,400.0,25680.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,0.163256651,1.0698873544691337E-9,500.0,52.6,-0.8922793992439408,29.041916167664674,-1.7167381974248945,48.78571511659508,67.9296346414073,9.195402298850574,48.01755447941889,53.17796610169492,42.857142857142854,49.5788526144894,94.00749063670412,5.150214592274678,500.0,25752.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,0.179047322,1.1752491673289073E-9,600.0,53.166666666666664,6.333333333333324,29.925187032418947,6.333333333333324,55.671592589752436,66.42771804062126,22.589531680440768,58.42422630132127,51.76908752327747,65.07936507936508,53.166666666666664,92.66666666666666,13.666666666666666,600.0,25792.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,0.189247317,1.2433710340969264E-9,700.0,55.57142857142857,7.9757194548713395,33.54700854700855,6.606606606606616,55.72927692920091,67.7720207253886,28.50574712643678,57.73329398649092,54.682274247491634,60.78431372549019,53.85971802865536,89.10081743869209,18.61861861861862,700.0,25816.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,0.198198698,1.303153885350459E-9,800.0,59.75,14.957115408740664,39.81308411214955,12.261580381471395,59.551231670785775,70.51282051282051,36.61417322834646,62.189649049171855,58.421851289833086,65.95744680851064,57.12757455431028,88.91454965357968,25.340599455040874,800.0,25816.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,0.205197071,1.3498933428794974E-9,900.0,62.66666666666667,19.702602230483283,44.186046511627914,16.000000000000004,62.107542599730905,72.77147487844408,40.63604240282685,65.22438527953777,61.171662125340596,69.27710843373494,59.275,89.8,28.749999999999996,900.0,25816.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,0.211943665,1.3949791903110842E-9,1000.0,59.5,15.544063060432903,39.46188340807174,13.276231263383288,59.70825234496991,69.84363365599404,38.35616438356164,62.10851202079273,57.90123456790124,66.3157894736842,57.48661168048017,87.99249530956847,26.98072805139186,1000.0,25832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1100.0,0.218201814,1.4368008785612054E-9,1100.0,58.36363636363636,15.275044985957653,37.77173913043478,14.071294559099426,59.13024762429843,67.79184247538677,41.131105398457585,60.84019572741377,56.37426900584796,65.3061224489796,57.51379003411523,85.00881834215167,30.0187617260788,1100.0,25832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,0.224678077,1.4800935729551648E-9,1200.0,58.25,16.500000000000004,37.60896637608967,16.500000000000004,59.604999517349164,66.62225183211193,44.2714126807564,61.02453980898221,55.49389567147613,66.5551839464883,58.25,83.33333333333334,33.166666666666664,1200.0,25840.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1300.0,0.230643473,1.5199712100997568E-9,1300.0,59.84615384615385,18.70113502128914,40.0,17.535545023696685,60.49486402643597,67.77777777777779,46.73469387755102,61.800895700215605,57.60755508919203,65.99423631123919,59.24289040313966,82.3088455772114,36.17693522906793,1300.0,25840.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,0.236815113,1.561240325458348E-9,1400.0,61.5,21.358150780582356,42.475987193169686,19.190404797601197,61.71739018528057,69.07630522088353,49.00662251655629,63.007108403148,59.603960396039604,66.41025641025641,60.479412408393344,82.12824010914052,38.830584707646175,1400.0,25848.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,0.242351818,1.5982636964507402E-9,1500.0,63.13333333333333,24.017587249244286,44.9203187250996,20.999999999999993,63.07876602233659,70.63197026022307,50.49239033124441,64.51470402625267,61.40350877192983,67.62589928057554,61.70535714285714,83.125,40.285714285714285,1500.0,25848.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
