learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.334689221,1.904162823593037E-9,100.0,96.0,0.0,-300.0,-Infinity,?,?,97.95918367346938,50.0,0.0,100.0,?,?,96.0,100.0,21992.0
200.0,0.502338769,2.8579791303744747E-9,200.0,98.0,0.0,-300.0,-Infinity,?,?,98.98989898989899,50.0,0.0,100.0,?,?,98.0,200.0,21992.0
300.0,0.667133728,3.7955546922816174E-9,300.0,98.66666666666667,0.0,-300.00000000000335,-Infinity,?,?,99.32885906040269,50.0,0.0,100.0,?,?,98.66666666666667,300.0,21992.0
400.0,0.833164839,4.740163150783628E-9,400.0,99.0,0.0,-300.00000000000887,-Infinity,?,?,99.49748743718592,50.0,0.0,100.0,?,?,99.0,400.0,21992.0
500.0,1.008677134,5.7387133467652736E-9,500.0,99.2,0.0,-300.0,-Infinity,?,?,99.59839357429718,50.0,0.0,100.0,?,?,99.2,500.0,21992.0
600.0,1.209938778,6.883760501779617E-9,600.0,99.33333333333333,0.0,-299.99999999999335,-Infinity,?,?,99.66555183946488,50.0,0.0,100.0,?,?,99.33333333333333,600.0,21992.0
700.0,1.387408607,7.893447786244668E-9,700.0,99.42857142857143,0.0,-299.9999999999922,-Infinity,?,?,99.71346704871061,50.0,0.0,100.0,?,?,99.42857142857143,700.0,21992.0
800.0,1.571469772,8.94063546265993E-9,800.0,99.5,0.0,-300.00000000000887,-Infinity,?,?,99.74937343358395,50.0,0.0,100.0,?,?,99.5,800.0,21992.0
900.0,1.730323055,9.844406773222406E-9,900.0,99.55555555555556,0.0,-300.00000000002,-Infinity,?,?,99.77728285077951,50.0,0.0,100.0,?,?,99.55555555555556,900.0,21992.0
1000.0,1.887837872,1.0740563087430267E-8,1000.0,99.6,0.0,-300.0,-Infinity,?,?,99.79959919839679,50.0,0.0,100.0,?,?,99.6,1000.0,21992.0
1100.0,2.049443104,1.1659991188380455E-8,1100.0,99.63636363636364,0.0,-300.00000000002444,-Infinity,?,?,99.81785063752277,50.0,0.0,100.0,?,?,99.63636363636364,1100.0,21992.0
1200.0,2.218371917,1.262108567653638E-8,1200.0,99.66666666666667,0.0,-299.9999999999867,-Infinity,?,?,99.83305509181972,50.0,0.0,100.0,?,?,99.66666666666667,1200.0,21992.0
1300.0,2.404195728,1.3678301656146846E-8,1300.0,99.6923076923077,0.0,-300.00000000001444,-Infinity,?,?,99.84591679506933,50.0,0.0,100.0,?,?,99.6923076923077,1300.0,21992.0
1400.0,2.587835318,1.472309084646818E-8,1400.0,99.71428571428571,0.0,-300.0000000000311,-Infinity,?,?,99.85693848354792,50.0,0.0,100.0,?,?,99.71428571428571,1400.0,21992.0
1500.0,2.772667907,1.577466742103092E-8,1500.0,99.73333333333333,0.0,-299.99999999998334,-Infinity,?,?,99.86648865153538,50.0,0.0,100.0,?,?,99.73333333333333,1500.0,21992.0
1600.0,2.965303928,1.687064042122828E-8,1600.0,99.75,0.0,-300.0,-Infinity,?,?,99.87484355444306,50.0,0.0,100.0,?,?,99.75,1600.0,21992.0
1700.0,3.161797809,1.798856212227916E-8,1700.0,99.76470588235294,0.0,-299.9999999999811,-Infinity,?,?,99.88221436984689,50.0,0.0,100.0,?,?,99.76470588235294,1700.0,21992.0
1800.0,3.36561313,1.9148138029645718E-8,1800.0,99.77777777777777,0.0,-300.00000000002,-Infinity,?,?,99.88876529477196,50.0,0.0,100.0,?,?,99.77777777777777,1800.0,21992.0
1900.0,3.764075439,2.1650156088744603E-8,1900.0,97.47368421052632,62.9903174229573,-2299.9999999998945,44.827586206896434,83.40286282819895,64.17910447761194,98.69067103109656,94.55741695467958,91.48936170212765,97.62547220723151,74.60232928213225,49.42528735632184,99.77937120794263,1900.0,24272.0
2000.0,4.185245374,2.4294759504219727E-8,2000.0,95.05,62.64827502942863,-4849.9999999999945,47.05882352941179,83.66575597387876,65.01766784452296,97.3365617433414,95.42191876750701,95.83333333333334,95.01050420168067,74.48861608525475,49.19786096256685,99.77937120794263,2000.0,24272.0
2100.0,4.576858039,2.675376738996142E-8,2100.0,93.0,62.74204994761926,-7250.000000000192,48.780487804878106,83.80348343548165,66.20689655172414,96.09561752988046,94.98573881258308,97.2972972972973,92.67418032786885,74.9767936179086,50.174216027874564,99.77937120794263,2100.0,24272.0
2200.0,4.874139946,2.862045511213028E-8,2200.0,91.13636363636364,62.255850783037125,-9650.000000000531,49.6124031007752,83.65217147973581,66.78023850085178,94.8859166011015,94.22500000000001,98.0,90.45,75.21268301999199,50.64599483204134,99.77937120794263,2200.0,24272.0
2300.0,5.174209045,3.0504644125037726E-8,2300.0,89.52173913043478,61.95356729063825,-11949.99999999945,50.5133470225873,83.54467398797262,67.47638326585695,93.75485877170252,93.42080956889187,98.4251968503937,88.41642228739003,75.55703673333475,51.33470225872689,99.77937120794263,2300.0,24272.0
2400.0,5.479491853,3.2421570974820195E-8,2400.0,88.625,63.67209071775345,-13549.999999999687,53.4923339011925,84.19458221437503,69.96699669966996,92.98380878951427,92.90631220894434,98.75776397515527,87.0548604427334,76.97656805712295,54.173764906303234,99.77937120794263,2400.0,24272.0
2500.0,5.798457115,3.442441246753766E-8,2500.0,87.76,64.50962508246295,-15199.999999999556,55.45851528384282,84.51051733570668,71.56133828996282,92.20183486238531,92.33285312946386,98.97172236503856,85.69398389388915,77.91006406103101,56.04075691411936,99.77937120794263,2500.0,24272.0
2600.0,6.135547647,3.6541065861259905E-8,2600.0,87.46153846153845,66.4634797740281,-16200.000000000535,58.576874205844966,85.26336283437013,74.04458598726114,91.73427991886409,92.0184223349299,99.14712153518124,84.88972313467855,79.43225231299292,59.0851334180432,99.77937120794263,2600.0,24272.0
