learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,8.35676801,3.934697706434091E-5,100.0,53.0,6.000000000000005,52.52525252525253,6.000000000000005,62.37290849411576,68.02721088435374,11.320754716981131,75.77319587628865,51.546391752577314,100.0,53.0,100.0,6.0,100.0,1.8200168E7
200.0,16.632603014,7.835284840849047E-5,200.0,61.5,23.0,61.30653266331658,23.0,63.666964260880135,69.56521739130434,47.61904761904761,65.992212487832,57.51633986928104,74.46808510638297,61.5,88.0,35.0,200.0,1.8218832E7
300.0,24.949019074,1.1757224212596906E-4,300.0,67.66666666666666,35.33333333333333,67.55852842809364,35.33333333333333,68.37246199690527,71.5542521994135,62.54826254826254,69.0931360776214,63.87434554973822,74.31192660550458,67.66666666666667,81.33333333333333,54.0,300.0,1.8229176E7
400.0,33.264827567,1.5681479281029524E-4,400.0,67.5,35.00000000000001,67.41854636591479,35.00000000000001,67.9012773627745,70.58823529411764,63.68715083798882,68.30735432576628,64.46280991735537,72.15189873417721,67.5,78.0,56.99999999999999,400.0,1.8241272E7
500.0,41.638231255,1.9635911723856598E-4,500.0,67.0,34.00000000000001,66.93386773547094,34.00000000000001,67.73751435897049,71.1033274956217,61.53846153846154,68.49144607459232,63.2398753894081,73.74301675977654,67.0,81.2,52.800000000000004,500.0,1.8255112E7
600.0,50.041605975,2.3606355748427514E-4,600.0,66.0,32.00000000000001,65.9432387312187,32.00000000000001,67.17005909389363,71.1864406779661,58.536585365853654,68.38235294117648,61.76470588235294,75.0,65.99999999999999,84.0,48.0,600.0,1.8263656E7
700.0,58.560101262,2.763273479731387E-4,700.0,66.85714285714286,33.71428571428572,66.80972818311875,33.71428571428572,68.27411421390903,72.18225419664267,59.01060070671378,69.75244872972146,62.1900826446281,77.31481481481481,66.85714285714286,86.0,47.714285714285715,700.0,1.8270656E7
800.0,67.079727441,3.1662788683973873E-4,800.0,67.875,35.74999999999999,67.83479349186483,35.74999999999999,69.46450733643967,73.14524555903866,60.031104199066874,71.13024654417035,62.83662477558348,79.42386831275721,67.875,87.5,48.25,800.0,1.8284904E7
900.0,75.693084316,3.573869539953315E-4,900.0,68.55555555555556,37.111111111111114,68.52057842046719,37.111111111111114,70.30065922277325,73.82053654024052,60.639777468706534,72.13692787161466,63.23296354992076,81.04089219330855,68.55555555555556,88.66666666666667,48.44444444444444,900.0,1.8291704E7
1000.0,84.414948325,3.986833123358591E-4,1000.0,69.6,39.19999999999999,69.56956956956957,39.19999999999999,71.33497090114186,74.5819397993311,62.18905472636816,73.15865093768905,64.08045977011494,82.23684210526315,69.6,89.2,50.0,1000.0,1.8302264E7
1100.0,93.151517776,4.400621539040509E-4,1100.0,71.18181818181817,42.36363636363636,71.15559599636032,42.36363636363636,72.74217708702353,75.5966127790608,64.81687014428414,74.37247764350568,65.55407209612817,83.1908831908832,71.18181818181817,89.27272727272727,53.090909090909086,1100.0,1.8307856E7
1200.0,101.998458577,4.819757745795509E-4,1200.0,71.83333333333334,43.66666666666668,71.80984153461219,43.66666666666668,73.14311717500595,75.82260371959944,66.2674650698603,74.50155238843377,66.41604010025063,82.58706467661692,71.83333333333333,88.33333333333333,55.333333333333336,1200.0,1.8313208E7
1300.0,110.851465601,5.239336354457791E-4,1300.0,72.76923076923076,45.538461538461526,72.74826789838336,45.538461538461526,74.04523637080312,76.52519893899205,67.58241758241758,75.36679007267243,67.24941724941725,83.48416289592761,72.76923076923076,88.76923076923077,56.769230769230774,1300.0,1.8319976E7
1400.0,119.775997665,5.662391255181192E-4,1400.0,73.42857142857143,46.85714285714286,73.409578270193,46.85714285714286,74.71558574108943,77.06535141800246,68.42105263157895,76.04852104302996,67.78741865509761,84.30962343096235,73.42857142857143,89.28571428571429,57.57142857142858,1400.0,1.832372E7
1500.0,128.7111321,6.086047309856691E-4,1500.0,74.6,49.2,74.58305537024683,49.2,75.82010949028079,77.93862188766649,70.07069913589945,77.08079323484111,68.88433981576254,85.27724665391969,74.6,89.73333333333333,59.46666666666667,1500.0,1.8327984E7
1600.0,137.542785527,6.504870877336293E-4,1600.0,75.375,50.75000000000001,75.35959974984365,50.75000000000001,76.52226273900442,78.49344978165938,71.19883040935673,77.70498962768862,69.67054263565892,85.73943661971832,75.375,89.875,60.875,1600.0,1.8331224E7
1700.0,147.230255258,6.964376264751848E-4,1700.0,75.88235294117646,51.764705882352935,75.86815773984696,51.764705882352935,77.02697623004788,78.90946502057614,71.84065934065933,78.20665978846513,70.10968921389397,86.3036303630363,75.88235294117646,90.23529411764706,61.52941176470588,1700.0,1.8335072E7
1800.0,156.651444639,7.411332883578155E-4,1800.0,76.16666666666667,52.33333333333334,76.15341856586994,52.33333333333334,77.34935381840494,79.1848617176128,72.12475633528265,78.56934890999744,70.28423772609818,86.85446009389672,76.16666666666667,90.66666666666666,61.66666666666667,1800.0,1.8338424E7
1900.0,165.821082437,7.846443540023526E-4,1900.0,76.52631578947368,53.05263157894737,76.51395471300685,53.05263157894737,77.71111163746409,79.4848206071757,72.57072570725708,78.9331709014967,70.58823529411765,87.27810650887574,76.52631578947368,90.94736842105263,62.10526315789474,1900.0,1.8342136E7
2000.0,174.979214332,8.281092002590612E-4,2000.0,76.85,53.69999999999999,76.83841920960481,53.69999999999999,78.03645917829071,79.75513773502406,72.97139521307648,79.26012743684552,70.86247086247086,87.6577840112202,76.85,91.2,62.5,2000.0,1.8345672E7
2100.0,184.241474288,8.720761016814789E-4,2100.0,77.23809523809524,54.47619047619048,77.22725107193902,54.47619047619048,78.41303157766293,80.06672226855713,73.47391786903441,79.62426605214976,71.2166172106825,88.03191489361703,77.23809523809524,91.42857142857143,63.04761904761905,2100.0,1.8348952E7
2200.0,193.476900523,9.159241702822509E-4,2200.0,77.54545454545455,55.0909090909091,77.53524329240564,55.0909090909091,78.69965394499154,80.3030303030303,73.89006342494714,79.88873106060606,71.51988636363636,88.25757575757575,77.54545454545453,91.54545454545455,63.54545454545455,2200.0,1.8352528E7
