learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.537630034,1.618952592772742E-9,100.0,67.0,0.0,50.000000000000014,0.0,?,80.23952095808384,?,?,67.0,?,50.0,100.0,0.0,100.0,11640.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.636030521,1.9470330825013418E-9,200.0,66.5,0.0,49.62406015037594,0.0,?,79.87987987987988,?,?,66.5,?,50.0,100.0,0.0,200.0,12888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,0.693877962,2.1401436924106542E-9,300.0,66.66666666666666,0.0,49.99999999999999,0.0,?,80.0,?,?,66.66666666666666,?,50.0,100.0,0.0,300.0,12904.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,0.743350291,2.3060126009500686E-9,400.0,66.75,0.0,49.999999999999986,0.0,?,80.0599700149925,?,?,66.75,?,50.0,100.0,0.0,400.0,12960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500.0,0.79294615,2.475477636168814E-9,500.0,66.8,0.0,50.000000000000014,0.0,?,80.0959232613909,?,?,66.8,?,50.0,100.0,0.0,500.0,13208.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,0.841561026,2.6415907318910787E-9,600.0,66.66666666666666,0.0,49.87468671679196,0.0,?,80.0,?,?,66.66666666666666,?,50.0,100.0,0.0,600.0,13208.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
700.0,0.89334895,2.8185458757583462E-9,700.0,66.57142857142857,0.0,49.677419354838705,0.0,?,79.93138936535162,?,?,66.57142857142857,?,50.0,100.0,0.0,700.0,13208.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,0.944195202,2.9923886343277988E-9,800.0,66.625,0.0,49.81203007518796,0.0,?,79.96999249812453,?,?,66.625,?,50.0,100.0,0.0,800.0,13216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,0.989824109,3.1483933495502503E-9,900.0,66.66666666666666,0.0,49.83277591973244,0.0,?,80.0,?,?,66.66666666666666,?,50.0,100.0,0.0,900.0,13216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,1.027594287,3.1534743590218323E-9,1000.0,66.7,0.0,49.849397590361455,0.0,?,80.0239952009598,?,?,66.7,?,50.0,100.0,0.0,1000.0,520.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1100.0,1.089391247,3.320889361672517E-9,1100.0,66.63636363636364,-0.18165214111294237,49.72602739726028,-0.27322404371583203,39.98908892525913,79.97817785051826,?,33.34849863512284,66.69699727024567,0.0,49.93188010899183,99.86376021798365,0.0,1100.0,10472.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1200.0,1.125109279,3.4180971117214193E-9,1200.0,66.58333333333334,-0.16652789342214097,49.68632371392724,-0.2499999999999724,39.969984992496244,79.93996998499249,?,33.319432860717264,66.63886572143453,0.0,49.9375,99.875,0.0,1200.0,10520.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1300.0,1.160065088,3.5139538952708242E-9,1300.0,66.61538461538463,-0.15372762872469542,49.768518518518526,-0.2309468822170826,39.98153277931671,79.96306555863342,?,33.33333333333333,66.66666666666666,0.0,49.942329873125715,99.88465974625143,0.0,1300.0,10600.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1400.0,1.193742831,3.606445330284122E-9,1400.0,66.57142857142857,-0.14275539306647814,49.731471535982806,-0.21413276231265305,39.96569468267582,79.93138936535163,?,33.30950679056469,66.61901358112938,0.0,49.94640943193998,99.89281886387997,0.0,1400.0,10616.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1500.0,1.230508438,3.720352525247468E-9,1500.0,66.60000000000001,-0.13324450366419807,49.7995991983968,-0.19999999999997792,39.97599039615846,79.95198079231692,?,33.322214809873245,66.64442961974649,0.0,49.95,99.9,0.0,1500.0,11976.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
